Incident ID,Date Reported,Incident Type,Priority,Department,Status,Resolution Time (days)
INC0442,2022-10-20,Hardware Failure,High,Sales,Resolved,12
INC0443,2022-11-30,Data Loss,Medium,IT,Resolved,22
INC0444,2024-11-22,Network Issue,Critical,Customer Service,Open,15
INC0445,2023-01-29,Data Loss,Medium,Customer Service,In Progress,1
INC0446,2024-01-28,Hardware Failure,Low,HR,In Progress,11
INC0447,2024-02-25,Security Breach,Critical,Finance,Closed,25
INC0448,2022-06-08,Hardware Failure,Critical,Customer Service,Resolved,24
INC0449,2024-09-26,User Error,High,Customer Service,Closed,18
INC0450,2022-09-29,User Error,High,Sales,Open,2
INC0451,2024-09-04,User Error,Critical,IT,Closed,6
INC0452,2023-04-18,Security Breach,Low,Operations,In Progress,4
INC0453,2023-11-22,Software Bug,High,Customer Service,Closed,1
INC0454,2024-01-09,Network Issue,Low,Operations,Open,21
INC0455,2023-03-08,Network Issue,Critical,IT,Closed,6
INC0456,2024-03-23,Data Loss,Medium,Finance,Resolved,24
INC0457,2024-12-29,Security Breach,Medium,Sales,Resolved,28
INC0458,2023-09-20,Security Breach,Medium,Operations,Open,13
INC0459,2024-08-24,Security Breach,Low,Customer Service,In Progress,13
INC0460,2024-02-04,Network Issue,Medium,Sales,Resolved,22
INC0461,2023-12-16,Data Loss,Medium,HR,In Progress,14
INC0462,2023-12-07,Network Issue,Medium,IT,Closed,25
INC0463,2023-11-03,Security Breach,Medium,IT,Closed,11
INC0464,2022-11-19,Software Bug,Low,HR,Resolved,11
INC0465,2023-03-05,Software Bug,High,Customer Service,In Progress,14
INC0466,2024-08-16,Hardware Failure,Critical,Finance,Open,19
INC0467,2023-08-10,Network Issue,Low,Finance,Resolved,17
INC0468,2024-05-07,Software Bug,Medium,IT,Closed,16
INC0469,2022-08-15,User Error,Medium,Finance,In Progress,16
INC0470,2022-07-05,Data Loss,High,Sales,In Progress,20
INC0471,2024-06-28,Software Bug,Low,Operations,Resolved,14
INC0472,2023-11-16,Hardware Failure,High,IT,Closed,15
INC0473,2023-01-11,User Error,Medium,Customer Service,In Progress,2
INC0474,2022-08-14,Network Issue,Medium,IT,Resolved,21
INC0475,2024-05-24,Software Bug,Critical,Sales,Closed,9
INC0476,2022-12-12,User Error,Critical,HR,Open,17
INC0477,2024-02-08,Security Breach,High,IT,In Progress,20
INC0478,2023-10-07,Security Breach,Medium,HR,In Progress,5
INC0479,2023-09-12,Software Bug,Medium,Finance,In Progress,5
INC0480,2022-07-21,Network Issue,Medium,Finance,Closed,20
INC0481,2022-07-06,Data Loss,Critical,IT,In Progress,5
INC0482,2024-05-27,Security Breach,Low,HR,Resolved,24
INC0483,2024-12-04,Data Loss,Low,Sales,Resolved,12
INC0484,2022-12-17,Hardware Failure,Critical,Operations,Resolved,20
INC0485,2024-12-20,Data Loss,Low,Customer Service,Resolved,15
INC0486,2024-02-16,Data Loss,Medium,Finance,Open,10
INC0487,2024-06-24,Hardware Failure,High,HR,Resolved,3
INC0488,2023-09-16,Security Breach,Critical,Customer Service,In Progress,3
INC0489,2025-03-13,Network Issue,Low,IT,Resolved,19
INC0490,2024-09-03,Network Issue,Medium,IT,In Progress,22
INC0491,2022-10-08,User Error,Medium,HR,Resolved,4
INC0492,2025-03-09,User Error,Medium,Customer Service,Resolved,11
INC0493,2022-11-18,Hardware Failure,Medium,Finance,Closed,11
INC0494,2022-07-13,Security Breach,Medium,Customer Service,Resolved,1
INC0495,2024-07-04,Security Breach,Low,HR,Open,7
INC0496,2024-11-26,Software Bug,Medium,HR,Open,23
INC0497,2025-03-03,User Error,High,Sales,In Progress,25
INC0498,2024-11-21,Data Loss,Medium,IT,Resolved,13
INC0499,2022-09-09,Hardware Failure,Critical,Sales,In Progress,3
INC0500,2022-05-01,Hardware Failure,Critical,HR,In Progress,12
